0,Nada,vazio
1,Sobrevivência,Habilidade básica de sobrevivência. Inclui pesca e coleta de materiais.
2,Culinária,Cozinhe comidas mais gostosas e nutritivas.
3,Criação,"A habilidade de criar. Inclui ferramentas de criação, armas e proteção."
4,Náutica,A habilidade de navegação e mapeamento.
5,Luta,"A habilidade de lutar. Aumente força, velocidade, uso de armas e técnica de batalha."
6,Cuidado,Habilidades de cuidado. Tudo sobre como cuidar melhor de seus companheiros.
7,Espada,Habilidade de combate com espadas.
8,Lança,Habilidades de utilização de lanças.
9,Arco,"Habilidades de utilização de arcos, atire em inimigos com mais precisão."
10,Faca,Habilidades de utilização de facas.
11,Arma contundente,Habilidades de utilização de armas contundentes.
12,Tecnologia,Habilidades de utilização de armas de tecnologia desconhecida.
13,All,
