1,Corda,
2,Peixe seco,
3,Sopa de peixe,
4,Flecha,
5,Arco,
6,Lança,
7,Armadura de madeira,
8,Barril,
9,Pano,
10,Churrasquinho,
11,Chapéu de madeira,
12,Armadura de ossos,
13,Chapéu de ossos,
14,Armadura de linho,
15,Chapéu de linho,
16,Armadura de pano,
17,Chapéu de pano,
18,Solo,
19,Polpa,
20,Papel,
21,Verniz,
22,Carvão,
23,Vara de pesca,
24,Espada de osso de peixe,
25,Lança de osso,
26,Dardo,
27,Dardo de osso,
28,Flecha de osso,
29,Prancha de madeira,
30,Pedaço de madeira,
31,Limonada,
32,Tintura verde,
33,Tintura azul,
34,Tintura vermelha,
35,Tintura amarela,
36,Tintura branca,
37,Tintura preta,
39,Clava,
40,Flauta,
41,Zarabatana,
42,Dardo de zarabatana,
43,Incenso,
44,Mistura de cura,
45,Mistura de energia,
46,Mistura tranquilizante,
47,Bandagem,
48,Bandagem desinfectada,
49,Casca de coco,
50,Peixe assado,
51,Purê de batata,
52,Sopa de vegetais,
53,Caldo,
54,Caldo,
55,Caldo,
56,Bife com ervas,
57,Bife com ervas,
58,Bife com ervas,
59,Capacete de coco,
60,Capacete de coco,
61,Tinta,
62,Pérola,
63,Sopa de vieira,
64,Químico,
65,Enxada,
66,Salada,
67,Mistura de frutas,
68,Barril furado,
69,Areia,
70,Ampulheta,
71,Telescópio,
72,Panela,
73,Osso,
74,Peixe seco,
