1,Sardinha,Peixe pequeno e oleoso. Muito comum.
2,Churrasquinho,Combina carne com frutas. Cheira bem.
3,Madeira,Você poderia fazer quase qualquer coisa com isso.
4,Corda,Útil.
5,Peixe seco,"Salgado, pode ficar fresco por muito tempo."
6,Linho,Dá origem a uma fibra forte. Pode ser transformado em cordas.
7,Água,Água doce.
8,Coxa,Arrancada de uma gaivota. Cheia de sabor.
9,Pena,Penas macias. Eu me pergunto se poderia fazer um travesseiro com isso.
10,Sopa de peixe,Peixe cozido em água.
11,Carne estranha,Não sei dizer do que vem.
12,Osso,Osso duro. Útil para fazer itens afiados.
13,Arco,Pode atacar de uma posição segura.
14,Flecha,Uma vara fina com ponta afiada que pode causar danos menores.
15,Dentes de tubarão,Dentes de uma criatura mortal. Podem ser transformados em arma.
16,Batata,Bom para encher barrigas vazias.
17,Cenoura,Pode curar cegueira noturna.
18,Semente,Produz plantas aleatórias.
19,Musgo,Cresce em jangadas em dias úmidos. Pode ser transformado em tecido.
21,Tecido,Malha de fibra áspera.
22,Lança,Uma vara grossa e afiada. Arma básica.
23,Armadura de madeira,Protege o corpo. Meio pesado.
24,Capacete de madeira,Protege a cabeça. Meio pesado.
25,Barril,A superfície interna é impermeabilizada com verniz. Um recipiente à prova d'água.
26,Água do mar,Salgada. Não potável.
27,Limão,"Fresco, mas amargo e azedo. Assim como a vida."
28,Armadura de ossos,Protege o corpo. Faz cócegas.
29,Capacete de ossos,Protege a cabeça. Faz cócegas.
30,Armadura de linho,Protege o corpo. Fique longe do fogo.
31,Chapéu de linho,Protege a cabeça. Fique longe do fogo.
32,Trapos,Roupas simples.
33,Chapéu,Chapéu simples.
34,Adubo,Feito a partir de comida. Recurso importante para fazer um solo fértil.
35,Terra,Recolhida da lama da ilha. Recurso importante para fazer um solo fértil.
36,Peixe vermelho,"Tem uma cor estranha, mas um gosto bom."
37,Tintura,Use para tingir as construções.
38,Clava,"Pesado, mas tem chances de nocautear seu inimigo."
39,Papel,Feito da polpa.
40,Mapa,Registra locais e direções.
41,Polpa,Moa e cozinhe madeira para fazer polpa.
42,Verniz,Produzido quando se queima madeira. Pode ser usado como material impermeável.
43,Carvão,É madeira sem água.
44,Vara de pesca,Pescar acalma os nervos.
45,Tentáculo,Pego do tentáculo misterioso. Pode ser bom para negociação.
46,Espada de osso de peixe,"Afiada, bem leve."
47,Lança de osso,Lança feita de osso. Bem afiada.
48,Dardo,Jogue para causar muito dano.
49,Dardo de osso,Jogue para causar muito dano.
50,Flecha de osso,Mais afiada que a flecha de madeira.
51,Tábua de madeira,"Madeira bem cortada, usada para receitas avançadas."
52,Peça de madeira,Pedaço de madeira refinado. Usado para receitas mais complexas.
53,Tintura verde,"Pode tingir o chão, a parede e o teto de verde."
54,Tintura azul,"Pode tingir o chão, a parede e o teto de azul."
55,Tintura vermelha,"Pode tingir o chão, a parede e o teto de vermelho."
56,Tintura amarela,"Pode tingir o chão, a parede e o teto de amarelo."
57,Tintura branca,"Pode tingir o chão, a parede e o teto de branco."
58,Tintura preta,"Pode tingir o chão, a parede e o teto de preto."
60,Flauta,Tocar instrumentos acalma.
61,Zarabatana,Pode atirar dardos para causar dano.
62,Dardo de zarabatana,Use com uma zarabatana.
63,Fruta venenosa,Boa para fazer veneno.
64,Peixe perfumado,Pode ser usado para fazer incenso.
65,Incenso,Coloque em um incensário para meditar.
66,Caveira,Parece assustador.
67,Limonada,"Quando a vida te der um limão, faça uma limonada."
68,Fezes,Fedorento.
69,Carta náutica,Registra locais e direções.
70,Atum,Grande e gordo.
71,Pedra,Pode ser encontrada em ilhas.
72,Cinzas de madeira,Podem ser recolhidas de uma fogueira.
73,Erva básica,Ervas verdes.
74,Erva de sangue,Ervas vermelhas.
75,Erva azul,Ervas azuis.
76,Erva do Sol,Ervas amarelas.
77,Mistura de cura,Usado para curar feridas.
78,Mistura de energia,Usado para tirar o sono.
79,Mistura tranquilizante,Usado para recuperar a sanidade.
80,Bandagem,Usado para curar feridas.
81,Bandagem desinfectada,Usado para curar feridas. Diminui a chance de infecção.
82,Coco,Tem um pouco de água dentro.
83,Casca de coco,A casca de um coco.
84,Peixe assado,Crocante.
85,Purê de batata,Faz seu estômago ficar cheio.
86,Sopa de vegetais,Líquido saboroso feito de vegetais.
87,Caldo de carne,Líquido saboroso feito de pedaços de carne.
88,Bife de ervas,Bife suculento com ervas.
89,Enxada,Usada para lavrar.
90,Pesticida,Usado para desparasitação.
91,Peixe espada,Peixe com um nariz de espada.
92,Algas marinhas,Tem gosto de borracha.
93,Salmão,Gordo.
94,Polvo,Tem tinta por dentro.
95,Tinta,"Líquido escuro, bom para escrever."
96,Vieira,Boa proteína se você conseguir abrir.
97,Sopa de vieira,Líquido saboroso feito de vieira.
98,Pérola,Preciosa.
99,Sutiã de conchas,Parece uma sereia agora.
100,Capacete de coco,"Protege sua cabeça, mas vai obstruir a sua visão."
101,Modelo de navio em garrafa,Um pequeno modelo de navio colocado dentro de uma garrafa. Parece delicado.
102,Estatueta de madeira,Uma estatueta feita de madeira.
103,Anel de madeira,Um pequeno anel feito de madeira.
104,Peixe de madeira,Um pequeno peixe feito de madeira.
105,Coral,Colorido.
106,Moeda antiga,Uma velha moeda de ouro.
107,Semente de legume,Produz uma planta rizomatosa. Fornece energia e satisfação.
108,Semente de folha,Produz verduras aleatórias. Fornece vitamina para os sobreviventes.
109,Semente de fruta,Produz ervas aleatórias. Use para curar feridas.
