1,Vara de pesca,"Demanda muito tempo, mas é uma boa maneira de acalmar os nervos."
2,Jangada,Tipo básico. Não possui durabilidade.
3,Limoeiro,Colha limões ou corte para obter madeira.
4,Caixa de armazenamento pequena,Armazene muitos tipos de coisas.
5,Escada,Expande verticalmente. Suporta 8 jangadas.
7,Rede,Comece a se sentir de férias.
8,Pilar,Suporta 9 jangadas.
9,Campo de linho,Colha linho para fazer cordas.
10,Cremalheira de carne,Deixa a carne seca.
11,Coletor de chuva,Coleta chuva. Pode armazenar 5 litros de água.
12,Tanque de água,Coloque ao lado de um coletor de chuva / filtro de água para armazenar 5 litros de água.
13,Bancada de trabalho,Crie muitos itens úteis. Coloque-a em um cômodo para fazer uma sala de trabalho.
14,Parede,Protege você dos ataques de tubarão.
15,Corpo de sobrevivente,
16,Corpo de tubarão,
17,Corpo de gaivota,
18,Colchonete,É possível dormir nele. Ou colocá-lo em um cômodo com incensário para fazer uma sala de meditação. Não possui durabilidade.
19,Estante de armas,Pode armazenar armas e flechas.
20,Caixa de armazenamento grande,Mais capacidade.
21,Filtro de água,Coloque água do mar nele para dessalinizá-la.
22,Plantação de batata,
23,Plantação de cenoura,
24,Parede de espinhos,Causa dano quando atacada.
25,Campo,
26,Fogueira,Faz comidas. Combine diferentes materiais para descobrir novas receitas.
27,Rede de pesca,Pega peixes de vez em quando.
28,Remo,Faz os sobreviventes remarem para frente ou para trás. Consome muita energia.
29,Porta,Parece um quarto agora.
30,Parede impermeável,Proteção à prova d'água.
31,Vela,Que um vento favorável te mande em segurança para casa.
32,Solo fértil,"Solo, a fonte da vida."
33,Cata-vento,Indica a direção do vento.
34,Remo de pescador,xxxxxxxxx
35,Madeira flutuante,Fornece flutuabilidade extra.
36,Observar local,xxxxxxxxx
37,Procurar local,Atente-se a ilhas.
38,Avaliar local,Avalie a orientação e a velocidade de navegação.
39,Mesa gráfica,Desenhe mapas.
40,Leme,Muda a direção.
41,Tocha,Clareia e aquece.
42,Tocha de parede,"A mesma tocha, só que na parede."
43,Cerca,Tente não cair na água.
44,Pintura,Cristalização da criatividade. Bom para sossegar a mente.
45,Misturador de tinturas,xxxxxxxxx
46,Mesa de localização,xxxxxxxxx
47,Mesa de revisão,xxxxxxxxx
48,Vela grande,Maior velocidade.
49,Mesa,Ótimo para jantar e fazer reuniões. Coloque em um cômodo para fazer uma sala de jantar.
50,Cadeira,"Depois de jantar, sente-se um pouco. Depois da ceia, caminhe um pouco. "
51,Panela,Pode cozinhar receitas melhores.
52,Tear,Crie fibras e roupas.
53,Pilão,Usado para moer. Pode fazer suco e tintura.
54,Pilão de pedra,Mais resistente que o pilão de madeira.
55,Bancada de ferramentas,Crie armas de curto e longo alcance.
56,Bancada de roupas,Faça armaduras e chapéus.
57,Estante de armaduras,Pode armazenar um conjunto completo de armadura.
58,Incensário,Bom para meditação.
59,Crânio na parede,Memória de um velho amigo.
60,Chuveiro,Bom banho.
61,Privada,Transforma fezes em fertilizante.
62,Armadilha de tubarão,Captura tubarão por certo tempo.
63,Pedra,
64,Lama,
65,Filtro de água avançado,Usa carvão para filtrar a água do mar.
66,Plantação de erva verde,
67,Plantação de erva amarela,
68,Plantação de erva vermelha,
69,Plantação de erva azul,
70,Bancada de medicina,Faça itens medicinais para curar feridas e doenças.
71,Calha,Parece mais uma casa agora.
72,Calha coletora de chuva,"Recolha chuva, com menos espaço. "
73,Vaso de flores na parede,Bom humor.
74,Rede avançada,Comece a se sentir de férias.
75,Jangada impermeável,Jangada à prova d'água.
76,Mesa grande,Ótimo para jantar e fazer reuniões.
77,Bancada de trabalho,Faça armas de curto e longo alcance.
78,Coqueiro,Colha cocos ou corte para obter madeira.
79,Jangada avançada,Seu amigo sincero. MK2
80,Tanque de fertilizante,Transforma comida em adubo.
81,Solo fértil,"Solo, a fonte da vida."
82,Teto,Bom para o abrigo.
83,Cama,Parece uma casa agora. Coloque em um cômodo para fazer um quarto.
