0,Nada
1,teimosia
2,gosta de atenção
3,atraente
4,pouca clareza
6,frieza
9,sabe conversar
10,insegurança
11,arrogância
12,honestidade
13,desajeitado
14,amoroso
15,humildade
16,sensibilidade
17,desonestidade
19,tristeza
20,piedade
21,fraqueza
22,burrice
23,vingança
24,simpatia
25,ciúmes
26,timidez
27,desatenção
28,pacifismo
29,irritabilidade
30,gosta de festas
31,espiritualidade
32,cabeça quente
33,autoritarismo
34,maldade
35,confiança
37,inteligência
38,lealdade
39,competitividade
40,defensibilidade
41,gentileza
42,profundo
44,aceita as coisas devagar
46,autodestruição
47,futilidade
49,forte
