1,伐木,伐木,选择一棵树，再选砍倒即可。砍倒树木会提供木材和水果。收获材料的数量和种类，取决于砍倒时数目成长到何种程度。
2,收获,收获,选择一棵树，再选收获即可。这样，就可以只收获水果而不砍倒树木。
3,植树,植树,点开建造面板，找到资源分页，再选择树木，再把蓝图放到任意泥土地板上即可植树。
4,建造木筏,建造木筏,点开建造面板，找到结构分页，再选择木筏。木筏可以建造再任意木筏的毗邻格。
5,建造泥土地板,建造泥土地板,点开建造面板，找到资源分页，再在木筏上右键打开次级面板。在次级面板里找到泥土地板，你可以想放置一个普通木筏那样放置它。
6,筛选,筛选,筛选图示列在屏幕左上方，默认可以选中的是角色和建筑，按住Alt可以选中物品，按住Ctrl可以选中地板，按住Shift可以选中墙面
7,角色,角色,屏幕正下方是你的角色。点击任意角色可以看到基本信息。点击详情可以打开人物面板。里面包括了状态、装备、日记、性格、社交、技能和健康情况。
8,攻击鲨鱼,攻击鲨鱼,想要攻击鲨鱼或任何敌人，只要选中敌人，再选攻击。然后，对于你想派遣战斗的幸存者，在他们的角色UI上（位于屏幕下方），点亮“警戒模式”按钮（一个剑形的小图标）。
9,切换楼层,切换楼层,按1~9或者屏幕左侧的一竖列按钮来切换楼层聚焦，你必须聚焦到某一层才能在那一层进行建造。
10,添柴,添柴,篝火需要添柴。点击篝火可以看到细节。点击添柴面板来指派幸存者为它添柴。
11,堆肥池,堆肥池,堆肥池可以将任意食物转化为腐殖质，腐殖质是制作泥土地板的重要材料。选中堆肥池，在你想要添加的食物上多次左键点击直到数量让你满意，这会让人物去添加这种食物。当食物放入后，需要等一段时间才能转化为腐殖质。多次点击右键可以取出制造出来的腐殖质。
12,存储,存储,如果某个建筑有储存空间，点击时会自动显示储存面板，左键(右键)点击里面某个物品，可以增加(减少)你希望放入的该种物品个数。默认情况下（只显示一个数字），意味着你不关心这种物品放多少个。
13,制造绳子,制造绳子,绳子非常有用。若想制作绳子，需要先种植亚麻。亚麻的种植方式跟树一样。然后需要建造一个工作台。点击工作台来打开制造面板，这里，你可以多次点击绳子的配方来表示你期望制作多少个绳子。当材料足够，你的角色会自动开始制作。
14,升级技能,升级技能,每个幸存者有6个技能，每个技能可以从0级升级到6级。你可以通过让幸存者反复使用技能来获得技能经验。经验足够时，点击升级按钮即可升级。注意每一级都有一些随机的技能试炼，完成试炼，可以在升级时获得额外加成。从4级开始，你必须完成一定量的试炼才能继续升级。
15,房间,房间,任何带门的封闭空间都能形成房间。点击房间（注意把筛选打开）后，你可以将幸存者指派给房间，这会使得别人无法进入这个房间也无法使用里面的物品。通过在房间里放置不同的建筑，你可以组合出不同的功能性房间，比如工作室、冥想室、餐厅等等。
16,解锁配方,解锁配方,升级技能可以解锁大部分的配方。其余的配方，可以通过在工作室里的工作设施上研究（需要提供对应的材料）或者在岛屿上调查残骸，或者幸存者“灵光一闪”、冥想、欣赏画作时偶然发现。
17,创意模式,创意模式,你可以在创意模式下随意建造，但是普通模式未曾解锁过的建筑是不能造的。
18,建造划桨,建造划桨,划桨需要放在水边，准确地说，需要三侧都有水环绕。
101,砍树,砍树,获得20个木头
102,钓鱼,钓鱼,海钓是一种简单的获取食物的方式，首先需要在工作台上利用【绳子】和【木头】制作【钓竿】。幸存者装备鱼竿后会自动钓鱼，钓到的小鱼还可以作为鱼饵来钓更大的鱼。
103,水源,水源,淡水是重要的生存资源，可以通过建造【雨水收集器】，在下雨时收集雨水。雨水收集器在【资源】列表里。
104,烹饪,烹饪,烹饪可以增加食物的营养并延长保质期，但烹饪往往需要热源，这意味着需要持续消耗木材或其他燃料。
105,海鸥,海鸥,海鸥偶尔会光顾你的基地，如果不及时驱赶，它们可能会偷吃你的食物存货。海鸥也偶尔会携带作物的种子。
106,农业,农业,有机物地板是种植所有作物的基础，它由腐殖质和木材组成。腐殖质可以在堆肥池里放置食物进行发酵制作。
107,鲨鱼,鲨鱼,鲨鱼是冷酷的猎手，如果不小心吸引到鲨鱼，需要及时还击，否则基地可能会被不断蚕食。
108,解锁配方,解锁配方,幸存者在升级时，会领悟出新的配方，不同的技能领悟出的配方不同。
109,航海,航海,桨是出海的第一步，跟别的航行方式相比，它消耗更多的体力，速度也更慢。但好在，它的造价很低廉。
110,木材耗尽,木材耗尽,木材是建造一切的基础，如果木材不小心耗尽，可以拆除一些不要的设施来回收木材。
