1,沙丁鱼,小巧，油脂丰富，是一种很常见的鱼
2,烤串,把肉和蔬菜组合在一起，味道闻起来很不错
3,木头,你几乎可以拿它造任何东西
4,绳子,非常实用
5,鱼干,咸咸的，可以保鲜更久
6,亚麻,产生坚韧的纤维，可以搓成绳子
7,水,清水
8,鸟腿,从海鸥身上获取，味道丰富
9,羽毛,轻飘飘的羽毛，做成枕头应该很舒服
10,鱼汤,把鱼放到水里炖煮
11,奇怪的肉,不知道是什么动物的肉
12,骨头,硬硬的骨头，可以做尖锐的东西
13,弓,可以在更安全的地方攻击了
14,箭,一根细细的木棍，可以造成一些伤害
15,鲨鱼牙齿,致命生物的牙齿，可以做成武器
16,土豆,饱腹感很强
17,胡萝卜,可以治疗夜盲症
18,种子,产生随机的作物
19,苔藓,在潮湿的天气生长一般长在木筏上，可以拿来做布料
21,布料,粗糙的布料
22,木矛,粗粗的削尖木棍，最基本的武器
23,木护甲,可以保护身体，但是有点重
24,木头盔,可以保护头部，但是有点重
25,桶,内表面涂了一层木焦油，可以防水
26,海水,很咸，不能喝
27,柠檬水,新鲜、酸涩，就像生活
28,骨护甲,保护身体，有点痒痒
29,骨头盔,保护头部，有点痒痒
30,亚麻衣,保护身体，注意远离火源
31,亚麻头巾,保护头部，注意远离火源
32,布衣,简单的衣服
33,布头巾,简单的头巾
34,腐烂物,由食物转化，做泥土地板的重要材料
35,土壤,从岛上的泥坑里收集，做泥土地板的重要材料
36,红色的鱼,颜色看着奇怪，但味道还不错
37,染料,用来粉刷建筑
38,棍棒,很重，不过有概率能击昏对手
39,纸,用纸浆做的
40,地图,记录地点和方向
41,纸浆,把木头放在水里煮、碾压做成的
42,木焦油,燃烧木头时产生的，可以用来做防水涂层
43,木炭,没有水分的木头
44,鱼竿,钓鱼对舒缓心情很有帮助
45,海怪的触手,看起来是从神秘海怪的触手上切下的，可能能卖个好价钱
46,鱼骨剑,刺刺的，很轻
47,骨矛,骨头做的矛，锋利多了
48,掷矛,掷矛可以产生很多伤害
49,骨掷矛,掷矛可以产生很多伤害
50,骨箭,比木头箭更锋利
51,木板,仔细切割过的木头，可以做更高级的东西
52,木头零件,精致的木头零件，可以做复杂的东西
53,绿色染料,可以把地板、墙面、屋顶染成绿色
54,蓝色染料,可以把地板、墙面、屋顶染成蓝色
55,红色染料,可以把地板、墙面、屋顶染成红色
56,黄色染料,可以把地板、墙面、屋顶染成黄色
57,白色染料,可以把地板、墙面、屋顶染成白色
58,黑色染料,可以把地板、墙面、屋顶染成黑色
60,笛子,乐器能放松人的精神
61,吹箭筒,吹出箭矢造成伤害
62,吹箭,搭配吹箭筒使用
63,毒果实,用来做毒药很不错
64,香水鱼,可以做成熏香
65,熏香,放在香插里，就可以在房间里冥想了
66,头骨,看着有点吓人
67,柠檬水,当生活给你了柠檬，就把他做成柠檬水吧
68,粪便,不好闻
69,航海图,记录航行位置和方向
70,金枪鱼,又大又肥美
71,石头,可以在岛上捡到
72,木灰,从篝火里收集
73,基础药草,绿色的药草
74,血红药草,红色的药草
75,幽蓝药草,蓝色的药草
76,阳光药草,黄色的药草
77,治愈粉末,用于治疗伤口
78,能量粉末,用于驱赶睡意
79,冷静粉末,用于恢复神志
80,绷带,用于治疗伤口
81,消毒绷带,用于治疗伤口，降低感染的概率
82,椰子,里面有椰汁
83,椰子壳,椰子的壳
84,烤鱼,一道香脆可口的菜
85,土豆泥,饱腹感很强
86,蔬菜汤,蔬菜做的可口的汤
87,肉汤,肉块做的可口的汤
88,香草肉排,多汁的肉排，上面还有香草
89,锄头,用来锄地
90,农药,用来驱虫
91,剑鱼,鼻子像剑一样的鱼
92,海草,尝起来像橡胶
93,鲑鱼,肥美的鱼
94,章鱼,里面有墨汁
95,墨汁,黑色的液体，可以写字
96,扇贝,能想办法打开的话，是很不错的蛋白质来源
97,扇贝汤,扇贝做的可口的汤
98,珍珠,很珍贵
99,扇贝胸甲,这下看起来像个美人鱼了
100,椰子头盔,保护头部，但有点遮挡视野
101,瓶中模型船,放在瓶子里的船模型，看着很精致
102,木质人像,木头做的人形雕像
103,木质戒指,木头做的指环
104,木质鱼,木头做的鱼雕像
105,珊瑚,色彩斑斓
106,古代钱币,古老的金色钱币
107,根茎种子,产出随机的根茎类作物，可以提供饱腹感和碳水。
108,叶菜种子,可以产出叶菜类作物，提供维他命
109,果类种子,可以产出随机的药草，可以治疗疾病和伤口
110,花类种子,产出随机浆果，可以做甜食和染料
111,毒鱼,有毒素的鱼，无法食用
112,蓝莓,蓝色的莓子，有点酸
113,草莓,红色的莓子，有点甜
114,卷心菜,绿叶蔬菜
115,菠菜,绿叶蔬菜
116,破损的桶,粗糙的桶，有点漏
117,沙拉,清爽的一道菜
118,水果拼盘,清爽的一道菜
119,沙子,一种颗粒状的矿物
120,沙漏,用来测量和计算航行速度
121,望远镜,增加瞭望的视野
122,皮革,用来做衣服和护甲很不错
123,石英,晶莹剔透
124,食物垃圾,千万别吃
125,炒蔬菜,清爽的一道菜
126,蔬菜沙拉,清爽的一道菜
127,混合果汁,闻起来水果味很重
128,蒸水果,温暖又甜美
129,巴西烤肉,香脆的一道菜
130,肉丸,香脆的一道菜
131,烤鱼,香脆的一道菜
132,刺身,虽然是生的，但是谜之好吃
133,蔬果烤串,香脆的一道菜
134,水果沙拉,清爽的一道菜
135,肉菜烤串,香脆的一道菜
136,肉沙拉,清爽的一道菜
137,海鲜菜烤串,香脆的一道菜
138,海鲜沙拉,清爽的一道菜
139,水果肉块烤串,香脆的一道菜
140,水果肉排炖菜,浓郁的一道菜
141,海鲜水果烤串,香脆的一道菜
142,海鲜水果炖菜,浓郁的一道菜
143,海鲜肉块烤串,香脆的一道菜
144,海鲜肉块炖菜,浓郁的一道菜
145,果酱肉排,奢华的一道菜
146,果酱鱼排,奢华的一道菜
147,奢华肉炖菜,奢华的一道菜
148,超级海鲜杂烩,奢华的一道菜
149,蛋,海鸥下的蛋
150,盐,让周围的食物腐烂得更慢
151,盐块,让周围的食物腐烂得更慢
152,鱼干,很咸，可以放很久
153,酒,水果做的果酒，很提神
154,蘑菇,在一根木头上长出来的，看着很可爱
155,血,某种生物的血，吸血鬼的理想零食
156,Sword,
157,Dagger,
158,Boomerang,
159,Slingshot,
160,Shield,
161,Claymore,
162,WarHammer,
163,SpikeClub,
164,BoneAxe,
166,TridentIce,
167,TridentFire,
501,人类的左手臂,某个人类的左手臂
502,人类的右手臂,某个人类的右手臂
503,人类的右腿,某个人类的右腿
504,人类的左腿,某个人类的左腿
505,木制的左手臂,木头做的手臂，上面有一个钩子
506,木制的右手臂,木头做的手臂，上面有一个钩子
507,木制的右腿,木头做的假腿，走起来会有声音
508,木制的左腿,木头做的假腿，走起来会有声音
1000,弓,可以在更安全的地方攻击了
1001,箭,一根细细的木棍，可以造成一些伤害
1002,木矛,粗粗的削尖木棍，最基本的武器
1003,棍棒,很重，不过有概率能击昏对手
1004,鱼骨剑,刺刺的，很轻
1005,骨矛,骨头做的矛，锋利多了
1006,掷矛,掷矛可以产生很多伤害
1007,骨掷矛,掷矛可以产生很多伤害
1008,骨箭,比木头箭更锋利
1009,吹箭筒,吹出箭矢造成伤害
1010,吹箭,搭配吹箭筒使用
1011,绷带,用于治疗伤口
1012,消毒绷带,用于治疗伤口，降低感染的概率
1013,剑,中庸的武器，没有特别的亮点和缺点
1014,匕首,速度很快，而且容易造成流血
1015,回力标,运气好的话，能飞回到手上
1016,弹弓,简单的远程武器，不需要消耗弹药
1017,盾牌,可以抵挡正面的投射物
1018,大剑,笨重的武器
1019,战锤,笨重的武器，容易将对手砸晕
1020,狼牙棒,比一般的棍棒更具攻击性
1021,骨斧,快速而锋利的武器
1022,冰三叉戟,可以冰冻敌人的远程武器，似乎是海底人的技术
1023,火三叉戟,可以灼烧敌人的远程武器，似乎是海底人的技术
1024,燃烧瓶,可以将一片区域点着，造成持续的灼烧伤害
2001,木护甲,可以保护身体，但是有点重
2002,木头盔,可以保护头部，但是有点重
2003,骨护甲,保护身体，有点痒痒
2004,骨头盔,保护头部，有点痒痒
2005,亚麻衣,保护身体，注意远离火源
2006,亚麻头巾,保护头部，注意远离火源
2007,布衣,简单的衣服
2008,布头巾,简单的头巾
2009,贝壳胸罩,很漂亮
2010,椰壳头盔,非常坚固，但影响视野
