1,sardine,descriptions here...
2,kebab,descriptions here...
3,Wood,descriptions here...
4,Rope,descriptions here...
5,Dried Fish,descriptions here...
6,Flax,descriptions here...
7,Water,descriptions here...
8,Drum Stick,descriptions here...
9,Feather,descriptions here...
10,Fish Soup,descriptions here...
11,Strange Meat,descriptions here...
12,Bone,descriptions here...
13,Bow,descriptions here...
14,Arrow,descriptions here...
15,SharkTeeth,descriptions here...
16,Potato,descriptions here...
17,Carrot,descriptions here...
18,Seed,descriptions here...
19,Moss,descriptions here...
21,Cloth,descriptions here...
22,Spear,descriptions here...
23,Wood Armor,descriptions here...
24,Wood Helmet,descriptions here...
25,Barrel,descriptions here...
26,SeaWater,descriptions here...
27,Orange,descriptions here...
28,Bone Armor,descriptions here...
29,Bone  Helmet,descriptions here...
30,Flax Armor,descriptions here...
31,Flax Head Band,descriptions here...
32,Rags,descriptions here...
33,Head Band,descriptions here...
34,Rot,descriptions here...
35,Soil,descriptions here...
36,Red Snapper,descriptions here...
37,Dye,descriptions here...
38,Club,descriptions here...
39,Paper,descriptions here...
40,Map,descriptions here...
41,Pulp,descriptions here...
42,Wood Tar,descriptions here...
43,Charcoal,descriptions here...
44,Fishing Rod,descriptions here...
45,tentacle,descriptions here...
46,Fish Bone Sword,descriptions here...
47,Bone Spear,descriptions here...
48,Throwing Spear,descriptions here...
49,Bone Throwing Spear,descriptions here...
50,Bone Arrow,descriptions here...
51,Wood Plank,descriptions here...
52,Wood Part,descriptions here...
53,Green Dye,descriptions here...
54,Blue Dye,descriptions here...
55,Red Dye,descriptions here...
56,Yellow Dye,descriptions here...
57,White Dye,descriptions here...
58,Black Dye,descriptions here...
60,Flute,descriptions here...
61,Blow Gun,descriptions here...
62,Blow Gun Arrow,descriptions here...
63,Posion Fruit,descriptions here...
64,Perfume Fish,descriptions here...
65,Incense,descriptions here...
66,Skull,descriptions here...
67,Lemonade,descriptions here...
68,Excreta,descriptions here...
69,Nautical Chart,descriptions here...
70,Tuna,descriptions here...
71,Stone,descriptions here...
72,Wood Ashes,descriptions here...
73,Basic Herb,descriptions here...
74,Blood Herb,descriptions here...
76,Sunshine Herb,descriptions here...
75,Blue Herb,descriptions here...
77,Cure Mix,descriptions here...
78,Energy Mix,descriptions here...
79,Chill Mix,descriptions here...
80,Bandage,descriptions here...
81,Disinfected Bandage,descriptions here...
82,Coconut,descriptions here...
83,Coconut Shell,descriptions here...
84,Roast Fish,descriptions here...
85,Mash Potato,descriptions here...
86,Vegetable Soup,descriptions here...
87,Broth,descriptions here...
88,Herb Steak,descriptions here...
89,Hoe,descriptions here...
90,Pesticide,descriptions here...
91,SwordFish,descriptions here...
92,SeaWeed,descriptions here...
93,Salmon,descriptions here...
94,Octopus,descriptions here...
95,Ink,descriptions here...
96,Scallop,descriptions here...
97,Scallop Soup,descriptions here...
98,Pearl,descriptions here...
99,ShellBra,descriptions here...
100,CoCoNut Helmet,descriptions here...
101,Ship Model In Bottle,descriptions here...
102,Wood Figurine,descriptions here...
103,Wood Ring,descriptions here...
104,Wood Fish,descriptions here...
105,Coral,descriptions here...
106,Ancient Coin,descriptions here...
107,Root Seed,descriptions here...
108,Leaf Seed,descriptions here...
109,Fruit Seed,descriptions here...
110,Flower Seed,descriptions here...
111,Posion Fish,descriptions here...
112,BlueBerry,descriptions here...
113,StarwBerry,descriptions here...
114,Cabbage,descriptions here...
115,Spinacia,descriptions here...
116,Leaking Barrel,descriptions here...
117,Salad,descriptions here...
118,FruitMix,descriptions here...
119,Sand,descriptions here...
120,SandGlass,descriptions here...
121,Telescope,descriptions here...
122,Leather,descriptions here...
123,Quartz,descriptions here...
124,FoodJunk,descriptions here...
125,Roast Vege Mix,descriptions here...
126,Vege Salad,descriptions here...
127,Juice Mix,descriptions here...
128,Simmered Fruit,descriptions here...
129,Churrasco,descriptions here...
130,Meat Ball,descriptions here...
131,Roast Fish,descriptions here...
132,Sashimi,descriptions here...
133,Fruit And Vege Kebab,descriptions here...
134,Fruit Salad,descriptions here...
135,Meat And Vege Kebab,descriptions here...
136,Meat Salad,descriptions here...
137,Seafood And Vege Kebab,descriptions here...
138,Seafood Salad,descriptions here...
139,Fruit And Meat Kebab,descriptions here...
140,FruitySteak Stew,descriptions here...
141,Fruity And Seafood Kebab,descriptions here...
142,Fruity Seafood Stew,descriptions here...
143,Seafood And Meat Kebab,descriptions here...
144,Seafood And Meat Stew,descriptions here...
145,Steak With Jam,descriptions here...
146,FishFiletwithjam,descriptions here...
147,Luxury Meat Stew,descriptions here...
148,Superme Seafood Chowder,descriptions here...
149,Egg,descriptions here...
