1,Sélectionner un arbre
2,Abattre un arbre
3,Attendre que le survivant abatte l'arbre
10,Sélectionner un arbre
11,Appuyer sur récolter
12,Attendre que le survivant abatte l'arbre
20,Placer un plan d'arbre
21,Planter un arbre
30,Construire un radeau
31,Construire un radeau
40,Placer le plan sur le sol
41,Construire un sol
50,Sélectionner un radeau
51,Sélectionner un bâtiment
52,Sélectionner un survivant
60,Sélectionner un survivant
61,Afficher l'état
62,Afficher les compétences
63,Afficher les besoins sociaux
64,Afficher la santé
70,Sélectionner un requin
71,Appuyer sur attaquer
72,Appuyer sur Alerte
73,Attaquer le requin
80,Changer d'étage
90,Sélectionner le feu de camp
91,Appuyer sur approvisionner en bois
100,Sélectionner la réserve d'engrais
101,Cliquer sur alimenter en nourritures
102,Attendre que la nourriture soit consommée
103,Attendre la transformation en engrais
104,Construire la réserve d'engrais
110,Sélectionner la boite de stockage
111,Cliquer sur déposer un objet
112,Cliquer sur déposer un objet
120,Placer un plan
121,Planter du lin
122,Récolter le lin
123,Sélectionner un atelier
124,Fabriquer de la corde
125,Construire un atelier
130,Sélectionner un survivant qui peut augmenter de niveau
131,Niveau supérieur
140,Construire une chambre
141,Assigner la chambre à un survivant
150,Déverouiller un bâtiment
151,Déverouiller une recette
160,Placer un plan de pagaie
161,Construire une pagaie
1010,Obtenir du bois
1011,Obtenir du bois
1020,Obtenir du poisson
1021,Obtenir du poisson
1030,Obtenir de l'eau
1031,Obtenir de l'eau
1040,Obtenir une brochette
1041,Construire un feu de camp
1050,Combattre une mouette
1060,Construire un sol
1070,Combattre un requin
1080,Déverouiller une recette
1090,Construire un radeau
1100,Démolir un bâtiment pour récupérer du bois
1200,Fabriquer un lit
1300,Appuyer sur WASD pour déplacer la caméra
1301,Mode Panoramique
1302,Zoomer et Dézoomer
1303,Tourner
