1,Abattre un arbre,"Sélectionnez un arbre, appuyez sur le bouton [ABATTRE].
Abattre un arbre vous fournit du bois et des fruits.
La quantité et le type de ressources acquises dépendent du type et du stade de croissance.","Sélectionnez un arbre, appuyez sur le bouton [ABATTRE].
Abattre un arbre vous fournit du bois et des fruits.
La quantité et le type de ressources acquises dépendent du type et du stade de croissance."
2,Récolter,"Sélectionnez un arbre, appuyez sur le bouton [RECOLTER].
De cette manière, vous pourrez récolter seulement un fruit et laisser l'arbre grandir.
","Sélectionnez un arbre, appuyez sur le bouton [RECOLTER].
De cette manière, vous pourrez récolter seulement  un fruit et laisser l'arbre grandir."
3,Planter un arbre,"Cliquez sur le bouton [CONSTRUIRE], trouvez l'onglet [RESSOURCES], cliquez sur [ARBRE].
Ensuite, posez le modèle sur le sol où planter l'arbre.","Cliquez sur le bouton [CONSTRUIRE], trouvez l'onglet [RESSOURCES], cliquez sur [ARBRE].
Ensuite, posez le modèle sur le sol où planter l'arbre."
4,Construire un radeau,"Cliquez sur le bouton [CONSTRUIRE],  trouvez l'onglet [STRUCTURE], cliquez sur [RADEAU].
Le radeau doit être construit près d'un autre radeau existant.","Cliquez sur le bouton [CONSTRUIRE], trouvez l'onglet [STRUCTURE], cliquez sur [RADEAU].
Le radeau doit être construit près d'un autre radeau existant."
5,Construire un ???,"Cliquez sur le bouton [CONSTRUIRE], trouvez l'onglet [RESSOURCES], Clic droit sur le [RADEAU] pour ouvrir le sous-menu.
Vous trouverez le [???] dans le sous-menu. Ensuite, construisez-le de la même manière qu'un radeau.","Cliquez sur le bouton [CONSTRUIRE], trouvez l'onglet [RESSOURCES], Clic droit sur le [RADEAU] pour ouvrir le sous-menu.
Vous trouverez le [???] dans le sous-menu. Ensuite, construisez-le de la même manière qu'un radeau."
6,Sélectionner un filtre,"Les Filtres se trouvent au dessus de l'écran. Cliquez sur l'un d'eux.
S'il est activé, vous pouvez sélectionner certains objets.
De gauche à droite, il y a [CONSTRUCTION], [PILE(OBJET)], [SURVIVANT], [PIECE], [ILE], [RADEAU].
","Les filtres se trouvent au dessus de l'écran. Cliquez sur l'un d'eux.
S'il est activé, vous pouvez sélectionner certains objets.
De gauche à droite, il y a [CONSTRUCTION], [PILE(OBJET)], [SURVIVANT], [PIECE], [ILE], [RADEAU]."
7,Personnage,"Il y a une liste des survivants au bas de l'écran. Cliquez sur son portrait pour voir son statut.
Cliquez sur le bouton pour ouvrir le descriptif du personnage, qui inclut l'état de base, l'équipement, le journal, les traits de caractère, les conditions sociales, les compétences et la santé.
","Il y a une liste des survivants au bas de l'écran. Cliquez sur son portrait pour voir son statut.
Cliquez sur le bouton pour ouvrir le descriptif du personnage, qui inclut l'état de base, l'équipement, le journal, les traits de caractère, les conditions sociales, les compétences et la santé."
8,Attaquer un requin,"Pour attaquer un requin (ou une autre créature), cliquez dessus, appuyez sur le bouton [ATTAQUER].
Ensuite, cliquez sur le bouton [ALERTE] à côté du portrait du personnage (au bas de l'écran) pour ordonner au survivant de participer au combat.","Pour attaquer 
un requin (ou une autre créature), cliquez dessus, appuyez sur le bouton [ATTAQUER].
Ensuite, cliquez sur le bouton [ALERTE] à côté du portrait du personnage (au bas de l'écran) 
pour ordonner au survivant de participer au combat."
9,Changer d'étage,"Pour voir un étage, appuyez sur tab/ bouton 1~9/ sur les 
boutons à gauche de l'écran. Vous pouvez construire uniquement sur l'étage visible actuellement.","Pour 
voir un étage, appuyez sur tab/ bouton 1~9/ sur les boutons à gauche 
de l'écran. Vous pouvez construire uniquement sur l'étage visible actuellement."
10,Approvisionner du bois,"Un feu de camp a besoin de bois pour brûler. Cliquez sur le feu de camp 
pour voir les détails. Cliquez sur le panneau d'approvisionnement pour programmer une tâche 
d'approvisionnement en bois.","Un feu de camp a besoin de bois pour brûler. Cliquez sur le feu de camp pour vois
les détails. Cliquez sur le panneau d'approvisionnement pour programmer une tâche d'approvisionnement en 
bois."
