1,Corde
2,Poisson cru
3,Soupe de poisson
4,Flèche
5,Arc
6,Lance
7,Armure en Bois
8,Tonneau
9,Vêtement
10,Brochette
11,Chapeau en Bois
12,Armure en Os
13,Chapeau en Os
14,Armure en Lin
15,Chapeau en Lin
16,Armure en Tissu
17,Chapeau en Tissu
18,Terre
19,Bouillie
20,Papier
21,Goudron de bois
22,Charbon
23,Canne à pêche
24,Epée en Os de poisson
25,Lance en Os
26,Javelot
27,Javelot en Os
28,Flèche en Os
29,Planche de Bois
30,Partie en Bois
31,Limonade
32,Colorant Vert
33,Colorant Bleu
34,Colorant Rouge
35,Colorant Jaune
36,Colorant Blanc
37,Colorant Noir
39,Massue
40,Flûte
41,Sarbacane
42,Flèchette pour sarbacane
43,Encens
44,Mélange curatif
45,Mélange énergétique
46,Mélange glacial
47,Bandage
48,Bandage désinfecté
49,Coque de noix de coco
50,Poisson frit
51,Purée
52,Soupe de légumes
53,Bouillon
54,Bouillon
55,Bouillon
56,Steak aux herbes
57,Steak aux herbes
58,Steak aux herbes
59,Casque de noix de coco
60,Casque de noix de coco
61,Encre
62,Perle
63,Soupe de coquille Saint-Jacques
64,Produit Chimique
65,Houe
66,Salade
67,Mélange de fruits
68,Tonneau qui fuit
69,Sable
70,Sablier
71,Longue-vue
72,Plat
73,Os
74,Poisson séché
