1,Canne à pêche,"Prend du temps, mais un bon moyen de soulager ses nerfs. "
2,Radeau,Votre fidèle ami.
3,Citronnier,Récolter des citrons ou couper le pour du bois.
4,Petite boîte de stockage,Stocke toutes sortes de choses.
5,Escalier, Se développe verticalement.
7,Hamac, Commencer à se sentir comme en vacances.
8,Pillier, Supporte 8 radeaux.
9,Champs de lin,Le lin peut être transformé en cordes.
10,Porte-Viande,Conserve la viande.
11,Collecteur d'eau de pluie, Collecte la pluie.
12,Réservoir d'eau, A placer à côté d'un collecteur d'eau de pluie / filtre l'eau et la stocke.
13,Etabli, Fabrique des objets utiles.
14,Mur,Une solide protection.
15,Corps de pirate,aaa
16,Carcasse de requin,aaa
17,Carcasse de mouette,aaa
18,Tapis, Pas très confortable. Manque de durabilité.
19,Support d'arme. Peut stocker 20 armes.,aaa
20,Grande caisse de stockage, Plus grande capacité.
21,Filtre à eau,Versez l'eau de mer pour déssaler
22,Champs de pomme de terre,aaa
23,Champs de carotte,aaa
24,Mur de piques,Protection agressive.
25,Champs,Produit des récoltes aléatoires.
26,Feu de camp,"Du poisson frit, yum! "
27,Filet de pêche,On n'a rien sans rien. 
28,Pagaie,Il faut aller de l'avant.
29,Porte,On se sent comme dans une belle pièce.
30,Mur étanche à l'eau,Protection imperméable.
31,Voile,Un vent favorable peut vous ramener en toute sécurité à la maison.
32,La terre,"Le sol, source de la vie."
33,Girouette,Mesure la direction du vent.
34,Pagaie de pêcheur, Alle de l'avant.
35,Bois flottant,Fournit une flottabilité supplémentaire.
36,Observer l'endroit,xxxxxxxxx
37,Regarder l'endroit,Méfiez-vous de l'île.
38,Evaluer l'endroit,Evaluer l'orientation et la vitesse de navigation.
39,Table Graphique,Dessine une carte.
40,Gouvernail, Change la direction.
41,Torche, Eclaire et réchauffe.
42,Torche murale,"Pareil qu'une torche, sur un mur."
43,Barrière,Essayer de ne pas tomber dans l'eau.
44,Paint,Crystallization of creativity. Good for ease mind.
45,Mixeur de teinture,xxxxxxxxx
46,LocatingingTable,xxxxxxxxx
47,RevisingTable,xxxxxxxxx
48,Grande voile,Plus rapide.
49,Table,Super pour le dîner et les rencontres.
50,Chaise," Après le dîner asseyez-vous un peu, après le souper marcher un peu. "
51,Marmite,Permettra de cuisiner de meilleures recettes.
52,Atelier de tisserand,Fabrique des fibres et des vêtements.
53,Motar,Using for smashing. Could craft juice and dye.
54,Mortier en pierre,Plus dur qu'un mortier en bois.
55,Etabli à outils, Fabrique des armes à distance/de mêlée.
56,Etabli à vêtements,Fabrique des chapeaux et des armures.
57,Support d'armure, Peut stocker un ensemble complet d'armure.
58,Porte-encens,Bon pour la méditation.
59,Crâne sur un mur, Souvenir d'un vieil ami.
60,Douche,Une belle douche.
61,Toilette,Transforme les excréments en engrais.
62,Pièce à requin,Attrape un requin pendant un moment.
63,Pierre,aaa
64,Boue,aaa
65,Filtre à eau amélioré,Utiliser du charbon pour filtrer l'eau de mer.
66,Champs d'herbe verte,aaa
67,Champs d'herbe jaune,aaa
68,Champs d'herbe rouge,aaa
69,Champs d'herbe bleu,aaa
70,Table de médecine,Fabrique des médicaments pour guérir les blessures et les maladies.
71,Eaves,Feel more like a home now.
72,Eaves RainCollector,"Recueille la pluie, avec moins d'espace. "
73,Pot de fleur sur le mur, Bonne humeur.
74,Hamac avancé,Start to feel like a vocation.
75,Radeau imperméable,Radeau étanche à l'eau.
76,Grande table,Idéal pour le dîner et les rencontres..
77,Etabli,Fabrique des armes à distance/de mêlée.
78,Cocotier, Récolter des noix de cocos ou couper le pour du bois.
79,Radeau amélioré,Votre fidèle ami. MK2
80,Engrais, Convertit la nourriture en engrais.
81,La terre,"Le sol, source de la vie."
82,Toit,Utile pour un abris.
83,Lit,On se sent comme à la maison.
84,Mannequin d'entraînement,Training fighting vegeskill.
85,Fabriquer une table d'entraînement,Enseigne les compétences d'artisanat.
86,Champs de racines végétale,produit des cultures de rhizomes aléatoires. Fournit de l'énergie et de l'épanouissement.
88,Champs de légumes feuillus,produit des légumes à feuilles aléatoires. Fournit de la vitamine aux survivants.
89,Champs d'herbe,Produit des herbes aléatoires. Utilisé pour guérir les blessures.
90,Champs de baie,produit des baies. Convient pour les desserts et la teinture.
91,Arbre,aaa
92,Algue, A un goût de catouchouc salé.
93,Fish Chess,GG.
94,Swing,Amusez-vous!
95,Coffre,Il y a quelque chose dedans.
96,Radeau étanche humide, garder le sec et propre.
97,Chou,aaa
98,Spinacia,aaa
99,Myrtille,aaa
100,Fraise,aaa
101,PosionBerry,aaa
102,Panier,aaa
103,Pêcheur,aaa
104,Pingouin,aaa
105,Coffre sur l'île,aaa
106,Table de préparation,Elaborer des plats froids.
