1,沙丁魚,小巧，油脂豐富，是一種很常見的魚
2,烤串,把肉和蔬菜組合在一起，味道聞起來很不錯
3,木頭,你幾乎可以拿它造任何東西
4,繩子,非常實用
5,魚乾,鹹鹹的，可以保鮮更久
6,亞麻,產生堅韌的纖維，可以搓成繩子
7,水,清水
8,鳥腿,從海鷗身上獲取，味道豐富
9,羽毛,輕飄飄的羽毛，做成枕頭應該很舒服
10,魚湯,把魚放到水裡燉煮
11,奇怪的肉,不知道是什麼動物的肉
12,骨頭,硬硬的骨頭，可以做尖銳的東西
13,弓,可以在更安全的地方攻擊了
14,箭,一根細細的木棍，可以造成一些傷害
15,鯊魚牙齒,致命生物的牙齒，可以做成武器
16,土豆,飽腹感很強
17,胡蘿蔔,可以治療夜盲症
18,種子,產生隨機的作物
19,苔蘚,在潮溼的天氣生長一般長在木筏上，可以拿來做布料
21,布料,粗糙的布料
22,木矛,粗粗的削尖木棍，最基本的武器
23,木護甲,可以保護身體，但是有點重
24,木頭盔,可以保護頭部，但是有點重
25,桶,內表面塗了一層木焦油，可以防水
26,海水,很鹹，不能喝
27,檸檬水,新鮮、酸澀，就像生活
28,骨護甲,保護身體，有點癢癢
29,骨頭盔,保護頭部，有點癢癢
30,亞麻衣,保護身體，注意遠離火源
31,亞麻頭巾,保護頭部，注意遠離火源
32,布衣,簡單的衣服
33,布頭巾,簡單的頭巾
34,腐爛物,由食物轉化，做泥土地板的重要材料
35,土壤,從島上的泥坑裡收集，做泥土地板的重要材料
36,紅色的魚,顏色看著奇怪，但味道還不錯
37,染料,用來粉刷建築
38,棍棒,很重，不過有概率能擊昏對手
39,紙,用紙漿做的
40,地圖,記錄地點和方向
41,紙漿,把木頭放在水裡煮、碾壓做成的
42,木焦油,燃燒木頭時產生的，可以用來做防水塗層
43,木炭,沒有水分的木頭
44,魚竿,釣魚對舒緩心情很有幫助
45,海怪的觸手,看起來是從神祕海怪的觸手上切下的，可能能賣個好價錢
46,魚骨劍,刺刺的，很輕
47,骨矛,骨頭做的矛，鋒利多了
48,擲矛,擲矛可以產生很多傷害
49,骨擲矛,擲矛可以產生很多傷害
50,骨箭,比木頭箭更鋒利
51,木板,仔細切割過的木頭，可以做更高階的東西
52,木頭零件,精緻的木頭零件，可以做複雜的東西
53,綠色染料,可以把地板、牆面、屋頂染成綠色
54,藍色染料,可以把地板、牆面、屋頂染成藍色
55,紅色染料,可以把地板、牆面、屋頂染成紅色
56,黃色染料,可以把地板、牆面、屋頂染成黃色
57,白色染料,可以把地板、牆面、屋頂染成白色
58,黑色染料,可以把地板、牆面、屋頂染成黑色
60,笛子,樂器能放鬆人的精神
61,吹箭筒,吹出箭矢造成傷害
62,吹箭,搭配吹箭筒使用
63,毒果實,用來做毒藥很不錯
64,香水魚,可以做成薰香
65,薰香,放在香插裡，就可以在房間裡冥想了
66,頭骨,看著有點嚇人
67,檸檬水,當生活給你了檸檬，就把他做成檸檬水吧
68,糞便,不好聞
69,航海圖,記錄航行位置和方向
70,金槍魚,又大又肥美
71,石頭,可以在島上撿到
72,木灰,從篝火裡收集
73,基礎藥草,綠色的藥草
74,血紅藥草,紅色的藥草
75,幽藍藥草,藍色的藥草
76,陽光藥草,黃色的藥草
77,治癒粉末,用於治療傷口
78,能量粉末,用於驅趕睡意
79,冷靜粉末,用於恢復神志
80,繃帶,用於治療傷口
81,消毒繃帶,用於治療傷口，降低感染的概率
82,椰子,裡面有椰汁
83,椰子殼,椰子的殼
84,烤魚,一道香脆可口的菜
85,土豆泥,飽腹感很強
86,蔬菜湯,蔬菜做的可口的湯
87,肉湯,肉塊做的可口的湯
88,香草肉排,多汁的肉排，上面還有香草
89,鋤頭,用來鋤地
90,農藥,用來驅蟲
91,劍魚,鼻子像劍一樣的魚
92,海草,嚐起來像橡膠
93,鮭魚,肥美的魚
94,章魚,裡面有墨汁
95,墨汁,黑色的液體，可以寫字
96,扇貝,能想辦法開啟的話，是很不錯的蛋白質來源
97,扇貝湯,扇貝做的可口的湯
98,珍珠,很珍貴
99,扇貝胸甲,這下看起來像個美人魚了
100,椰子頭盔,保護頭部，但有點遮擋視野
101,瓶中模型船,放在瓶子裡的船模型，看著很精緻
102,木質人像,木頭做的人形雕像
103,木質戒指,木頭做的指環
104,木質魚,木頭做的魚雕像
105,珊瑚,色彩斑斕
106,古代錢幣,古老的金色錢幣
107,根莖種子,產出隨機的根莖類作物，可以提供飽腹感和碳水。
108,葉菜種子,可以產出葉菜類作物，提供維他命
109,果類種子,可以產出隨機的藥草，可以治療疾病和傷口
110,花類種子,產出隨機漿果，可以做甜食和染料
111,毒魚,有毒素的魚，無法食用
112,藍莓,藍色的莓子，有點酸
113,草莓,紅色的莓子，有點甜
114,捲心菜,綠葉蔬菜
115,菠菜,綠葉蔬菜
116,破損的桶,粗糙的桶，有點漏
117,沙拉,清爽的一道菜
118,水果拼盤,清爽的一道菜
119,沙子,一種顆粒狀的礦物
120,沙漏,用來測量和計算航行速度
121,望遠鏡,增加瞭望的視野
122,皮革,用來做衣服和護甲很不錯
123,石英,晶瑩剔透
124,食物垃圾,千萬別吃
125,炒蔬菜,清爽的一道菜
126,蔬菜沙拉,清爽的一道菜
127,混合果汁,聞起來水果味很重
128,蒸水果,溫暖又甜美
129,巴西烤肉,香脆的一道菜
130,肉丸,香脆的一道菜
131,烤魚,香脆的一道菜
132,刺身,雖然是生的，但是謎之好吃
133,蔬果烤串,香脆的一道菜
134,水果沙拉,清爽的一道菜
135,肉菜烤串,香脆的一道菜
136,肉沙拉,清爽的一道菜
137,海鮮菜烤串,香脆的一道菜
138,海鮮沙拉,清爽的一道菜
139,水果肉塊烤串,香脆的一道菜
140,水果肉排燉菜,濃郁的一道菜
141,海鮮水果烤串,香脆的一道菜
142,海鮮水果燉菜,濃郁的一道菜
143,海鮮肉塊烤串,香脆的一道菜
144,海鮮肉塊燉菜,濃郁的一道菜
145,果醬肉排,奢華的一道菜
146,果醬魚排,奢華的一道菜
147,奢華肉燉菜,奢華的一道菜
148,超級海鮮雜燴,奢華的一道菜
149,蛋,海鷗下的蛋
150,鹽,讓周圍的食物腐爛得更慢
151,鹽塊,讓周圍的食物腐爛得更慢
152,魚乾,很鹹，可以放很久
153,酒,水果做的果酒，很提神
154,蘑菇,在一根木頭上長出來的，看著很可愛
155,血,某種生物的血，吸血鬼的理想零食
156,蝦,可以拿來當魚餌
157,醃菜,可以儲存更久
158,聖水,在雕像前供奉，可能會帶來好運
159,烤鳥肉,味道很不錯
160,瓶子,一個空瓶子
501,人類的左手臂,某個人類的左手臂
502,人類的右手臂,某個人類的右手臂
503,人類的右腿,某個人類的右腿
504,人類的左腿,某個人類的左腿
505,木製的左手臂,木頭做的手臂，上面有一個鉤子
506,木製的右手臂,木頭做的手臂，上面有一個鉤子
507,木製的右腿,木頭做的假腿，走起來會有聲音
508,木製的左腿,木頭做的假腿，走起來會有聲音
1000,弓,可以在更安全的地方攻擊了
1001,箭,一根細細的木棍，可以造成一些傷害
1002,木矛,粗粗的削尖木棍，最基本的武器
1003,棍棒,很重，不過有概率能擊昏對手
1004,魚骨劍,刺刺的，很輕
1005,骨矛,骨頭做的矛，鋒利多了
1006,擲矛,擲矛可以產生很多傷害
1007,骨擲矛,擲矛可以產生很多傷害
1008,骨箭,比木頭箭更鋒利
1009,吹箭筒,吹出箭矢造成傷害
1010,吹箭,搭配吹箭筒使用
1011,繃帶,用於治療傷口
1012,消毒繃帶,用於治療傷口，降低感染的概率
1013,劍,中庸的武器，沒有特別的亮點和缺點
1014,匕首,速度很快，而且容易造成流血
1015,回力標,運氣好的話，能飛回到手上
1016,彈弓,簡單的遠端武器，不需要消耗彈藥
1017,盾牌,可以抵擋正面的投射物
1018,大劍,笨重的武器
1019,戰錘,笨重的武器，容易將對手砸暈
1020,狼牙棒,比一般的棍棒更具攻擊性
1021,骨斧,快速而鋒利的武器
1022,冰三叉戟,可以冰凍敵人的遠端武器，似乎是海底人的技術
1023,火三叉戟,可以灼燒敵人的遠端武器，似乎是海底人的技術
1024,燃燒瓶,可以將一片區域點著，造成持續的灼燒傷害
2001,木護甲,可以保護身體，但是有點重
2002,木頭盔,可以保護頭部，但是有點重
2003,骨護甲,保護身體，有點癢癢
2004,骨頭盔,保護頭部，有點癢癢
2005,亞麻衣,保護身體，注意遠離火源
2006,亞麻頭巾,保護頭部，注意遠離火源
2007,布衣,簡單的衣服
2008,布頭巾,簡單的頭巾
2009,貝殼胸罩,很漂亮
2010,椰殼頭盔,非常堅固，但影響視野
