1,FishingRod," Takes a long time, but a good way to ease nerve. "
2,簡易木筏,壞得很快。
3,檸檬樹,收穫檸檬，或砍伐獲得木頭。
4,儲物箱,可以儲存物品。
5,樓梯,垂直地擴充套件空間。
7,吊床,睡在上面像是在度假。
8,支撐木,最多支撐9個木筏。
9,亞麻,可以做成繩子。
10,晾肉架,儲存肉。
11,集雨裝置,收集雨水。
12,水箱,放在集雨裝置旁邊，可以儲存更多的水。
13,工作臺,製作很多有用的物品。
14,牆,堅固的保護。
15,屍體,
16,鯊魚屍體,
17,鳥屍體,
18,睡墊,不怎麼舒服，也不怎麼耐用。
19,武器架,可以放20個武器。真多。
20,儲物櫃,可以放40個物品。
21,濾水裝置,海水進，淡水出。
22,土豆,
23,胡蘿蔔,
24,尖刺牆,很有攻擊性的保護。
25,農作物,結果是隨機的。
26,火堆,烤魚，好吃！
27,漁網,不入虎穴，焉得虎子。
28,槳,前進！
29,門,有門，才算得上是房間。
30,防水牆,防水的保護。
31,簡易帆,隨波逐流。
32,泥土木筏,很珍貴。
33,風向標,可以看到風向。
34,FishmanPaddle,Push forward.
35,浮木裝置,提供很多浮力。
36,觀測點,記錄到過的地方。
37,瞭望點,看看遠處有什麼。
38,測量點,記錄航行的方向和速度。
39,繪圖臺,繪製地圖。
40,簡易舵,控制方向。
41,火把,很亮，很溫暖。
42,牆上的火把,跟地上的火把一樣。
43,柵欄,避免落水。
44,畫,智慧的結晶，讓人心曠神怡。
45,染料裝置,製作染料。
46,LocatingingTable,Push forward.
47,RevisingTable,Push forward.
48,大型帆,更強勁。
49,桌子,吃飯聚會的好去處。
50,凳子,飯後坐一會兒，活到九十九。
51,鍋,製作更高階的料理。
52,織布裝置,製作繩子和布料。
53,臼,用來碾磨，像做果汁、紙漿。
54,石臼,比木頭做的更耐用。
55,工具臺,製作各種武器。
56,製衣臺,製作帽子、衣服。
57,衣架,可以存放一套裝備。
58,香插,點上薰香，有助於冥想。
59,牆上的頭骨,老朋友的回憶。
60,浴室,好好洗個澡。
61,廁所,收集排洩物。
62,鯊魚陷阱,誘捕鯊魚。
63,岩石,可以採集到石頭
64,泥潭,可以採集到黏土
65,高階濾水裝置,用木炭過濾，效果更好。
66,綠色藥草田,
67,黃色藥草田,
68,紅色藥草田,
69,藍色藥草田,
70,製藥臺,製作治療傷口和疾病的藥品。
71,屋簷,現在感覺更像一個家了。
72,屋簷集雨器,放在屋簷，收集雨水。
73,牆上的花盆,好心情
74,耐用的吊床,不那麼膈了。
75,防水的地板,塗上木焦油，就能防水了
76,大桌子,比一般的桌子更寬敞
77,工作臺,製作各種物品。
78,椰子樹,收穫椰子，或砍伐獲得木頭。
79,堅固的木筏,很耐用。
80,堆肥池,放進多餘的食物，轉換成肥料。
81,有機物木筏,可以用來種農作物。
82,屋簷,不錯的遮陽場所。
83,床,有家的感覺了。
84,訓練假人,訓練戰鬥技巧
85,手工藝練習臺,訓練製造技巧
86,根莖作物,產出隨機的根莖類作物，可以提供飽腹感和碳水。
88,葉類作物,可以產出葉菜類作物，提供維他命
89,草本作物,可以產出隨機的藥草，可以治療疾病和傷口
90,果類作物,產出漿果，可以做甜食和染料
91,樹,
92,海草,吃起來像橡膠
93,魚棋,玩的不錯。
94,鞦韆,很開心！
95,箱子,裡面好像有東西
96,防溼地板,可以保持乾燥和清爽
97,甘藍,
98,菠菜,
99,藍莓,
100,草莓,
101,毒果子,
102,籠子,裡面有俘虜
103,魚人,有點煩人的傢伙
104,企鵝,有點可愛的傢伙
105,箱子,裡面有東西
106,冷餐檯,製作冷食
107,釀酒桶,把水果釀成果酒
108,蘑菇木,把食物和木料轉化成蘑菇
109,廢墟,調查可能有意外的發現
110,木材堆,最多存放20個木材
111,食物堆,最多存放20個食物
112,帶門栓的門,可以設定關閉或者開啟的門
113,鳥巢,有可能會發現鳥類的蛋
114,水塘,可以收集到淡水
115,沙堆,可以收集沙子和貝殼
116,種植管理臺,管理周圍植物的種植計劃
117,製造管理臺,管理周圍設施的製造計劃
118,醃菜桶,可以醃製蔬菜，延長保質期
119,箭塔,弓箭手可以站在上面，擁有更遠的射程，而且不容易被擊中
120,尖刺陷阱,經過的敵人會被尖刺襲擊
121,雕像,對它祈禱，可能會有幸運的事情發生
122,椰子燈,比普通火把更持久，需要燒木焦油
123,捕鳥陷阱,放入食物來誘捕海鳥
124,維修臺,可以維修用壞的工具
