1,{1:Show} 向 {2:Show} 退讓，  {0:ShowList_i_r_we_they} 不再是敵人
2,{2:ShowS} 拒絕了 {1:ShowP} 的道歉
3,{1:Show} 的魅力還不足以讓 {2:Show} 說服 {0:ShowList_i_r_we_they} 應該和好
4,{2:Show} 敞開了心扉，所以 {1:Show} 和 {2:ShowPron_him_her} 和好了
5,{0:ShowList_i_r_and} 不再對彼此抱有敵意， 甚至忘記了一開始到底是為什麼爭吵
6,{2:ShowS} 取笑 {1:ShowO} ， 認為這樣更容易向 {2:ShowPron_him_her} 退讓
7,{0:ShowCKB} 讓 {0:ShowList_i_r_andp} 和好了
8,結果 {0:ShowCKB} 不足以讓 {0:ShowList_i_r_andp} 和好
9,{2:ShowS} 人很好， 不再和 {1:ShowO} 是敵人
10,{1:Show} 的退讓反而變成了對 {2:Show} 的示愛
11,{1:Show} 愉快地解決了 {1:ShowPron_he_she} 和 {2:Show} 的分歧
12,{2:ShowS} 在 {1:ShowS} 試圖和好時， 翻起了舊賬
13,{2:ShowS} 太記仇了， {0:ShowList_i_r_andp} 無法解決分歧
14,{0:ShowList_i_r_and} 不再爭吵， 又和好為和睦的情侶
15,{0:ShowList_i_r_and} 仍然在爭吵
16,{1:Show} 聰明地化解了和 {2:Show} 的分歧
21,{1:Show} 想讓 {2:Show} 幫忙對付 {3:Show} ， 但是 {2:ShowPron_he_she} 似乎叛變了
24,{2:ShowS} 並不後悔對 {1:ShowO} 的不友善行為
25,{2:ShowS} 向 {1:ShowO} 道歉， 覺得自己不是一個合格的朋友
26,{2:ShowS} 幫 {1:ShowO} 做了一個關於 {3:Show} 的決定
29,{2:ShowS} 找藉口不幫 {1:ShowO}
30,{1:Show} 想找 {2:Show} 幫自己， 但是 {2:ShowPron_he_she} 說 曾經的 {2:Show} 已經死了
31,{2:ShowS} 幫 {1:ShowO} 解決了一個令人尷尬的問題
33,{2:ShowS} 威脅 {1:ShowO} 提供幫助
39,{2:ShowS} 告訴 {1:ShowO} {2:ShowPron_he_she} 絕不支援 {1:ShowPron_he_she} 與 {3:Show} 的不誠實關係
41,{2:ShowS} 很強， 可以幫忙處理 {1:ShowS} 遇到的任何麻煩
42,{2:ShowS} 是個有求必應的朋友
43,{2:ShowS} 在 {1:Show} 需要的時候讓 {1:ShowPron_him_her} 失望了
44,{2:ShowS} 借給 {1:ShowO} {2:ShowPron_his_her} {0:ShowCKB}
45,{2:ShowS} 拒絕借給 {1:ShowO} {2:ShowPron_his_her} {0:ShowCKB}
46,{2:ShowS} 幫了 {2:ShowPron_his_her} 甜心
49,{1:Show} 想背叛 {2:Show} ， 來終止這段關係
50,{1:Show} 摧毀了和 {2:Show} 的友誼
51,{1:Show} 想從背後捅 {2:Show} 一刀， 但是 {2:ShowS} 覺得無所謂
52,{1:Show} 想毀了 {2:ShowP} 社交
55,"{1:Show} confessed to dating {2:ShowP} crush, but {2:ShowS} let it go"
56,{1:Show} 洩露了和祕密， 背叛了 {1:ShowPron_his_her} {2:ShowGender_boyfriend_girlfriend}
58,{1:Show} 洩露了 {2:ShowP} 祕密， 徹底毀了 {2:ShowPron_his_her} 名聲
59,當 {1:ShowS} 威脅要背叛 {2:Show} 時， {2:ShowPron_him_her} 只是笑了笑，
60,{1:Show} 背叛了 {2:Show}
61,{2:Show} 為做過的卑鄙的事向 {1:Show} 道歉
63,{1:Show} 羞辱 {2:ShowP} 的頭髮， 但是 {2:ShowPron_he_she} 內心充滿了禪意，毫不在意
65,{0:ShowList_i_r_and} 進行了一場心靈上的戰爭
66,{1:Show} 又一次提起了 {2:ShowS} 做過的某件蹩腳的事情
67,{2:Show} 又做了 {1:ShowS} 認為很野蠻的事情
68,{0:ShowList_i_r_and} 總是讓對方很緊張
69,{0:ShowList_i_r_and} 像老夫老妻一樣爭吵
71,{1:Show} 懷著浪漫的感情指責了 {2:Show}
72,{3:Show} 摻入了 {0:ShowList_i_r_andp} 友誼
73,{0:ShowList_i_r_and} 陷入了無意義的爭吵
74,{1:Show} 與 {2:Show} 爭吵， 但是最後變成了恭維
75,{1:Show} 與 {2:Show} 激烈爭吵
76,{1:Show} 與 {2:Show} 爭吵， 指責{2:ShowPron_him_her} 與別人約會
77,{1:Show} 與 {2:Show} 爭吵， 打算參與競爭
78,{1:Show} 警告 {2:Show} 遠離 {3:Show}
79,{1:Show} 與小三 {2:Show} 爭吵，但是卻進行了恭維
